stat_name,statcategory,ssg,en_stat_name
"{""de_de"":""Reflek{d}tierter Schaden –Ø pro 10 Min."",""en_gb"":""Damage Reflected - Avg per 10 Min"",""en_us"":""Damage Reflected - Avg per 10 Min"",""es_es"":""Daño reflejado: media en 10 min"",""es_mx"":""Daño reflejado - Promedio por 10 minutos"",""fr_fr"":""Dégâts renvoyés - Moyenne en 10 min"",""it_it"":""Danni riflessi - Media 10 min."",""ja_jp"":""反射ダメージ - 10分平均値"",""ko_kr"":""튕겨낸 피해 - 10분당 평균"",""pl_pl"":""Odbite obrażenia – średnio na 10 min."",""pt_br"":""Dano refletido - média por 10 min"",""pt_pt"":""Dano refletido - média por 10 min"",""ru_ru"":""Урона отражено (в среднем за 10 мин.)"",""zh_cn"":""平均每10分钟反弹伤害量"",""zh_tw"":""招架平均每十分鐘傷害量""}",Hero,1244,Damage Reflected - Avg per 10 Min
"{""de_de"":""Absorbierter Schaden – Bestleistung"",""en_gb"":""Damage Absorbed - Most in Game"",""en_us"":""Damage Absorbed - Most in Game"",""es_es"":""Daño absorbido: mayor en una partida"",""es_mx"":""Daño absorbido - Mayor cantidad en una partida"",""fr_fr"":""Dégâts absorbés - Maximum en une partie"",""it_it"":""Danni assorbiti - Record partita"",""ja_jp"":""最大反射ダメージ/マッチ"",""ko_kr"":""흡수한 피해 - 한 게임 최고기록"",""pl_pl"":""Zaabsorbowane obrażenia – najwięcej w meczu"",""pt_br"":""Dano absorvido - maior número em jogo"",""pt_pt"":""Dano absorvido - maior número em jogo"",""ru_ru"":""Макс. урона поглощено за матч"",""zh_cn"":""单场最多吸收伤害量"",""zh_tw"":""單場最高傷害吸收量""}",Hero,1721,Damage Absorbed - Most in Game
"{""de_de"":""Absorbierter Schaden –Ø pro 10 Min."",""en_gb"":""Damage Absorbed - Avg per 10 Min"",""en_us"":""Damage Absorbed - Avg per 10 Min"",""es_es"":""Daño absorbido: media en 10 min"",""es_mx"":""Daño absorbido - Promedio por 10 minutos"",""fr_fr"":""Dégâts absorbés - Moyenne en 10 min"",""it_it"":""Danni assorbiti - Media per 10 min."",""ja_jp"":""反射ダメージ - 10分平均値"",""ko_kr"":""흡수한 피해 - 10분당 평균"",""pl_pl"":""Zaabsorbowane obrażenia – średnio na 10 min."",""pt_br"":""Dano absorvido - média por 10 min"",""pt_pt"":""Dano absorvido - média por 10 min"",""ru_ru"":""Поглощено урона (в среднем за 10 мин.)"",""zh_cn"":""平均每10分钟吸收伤害量"",""zh_tw"":""平均每十分鐘傷害吸收量""}",Hero,1722,Damage Absorbed - Avg per 10 Min
"{""de_de"":""|Rpl {0}:Eliminierung:Eliminierungen;"",""en_gb"":""|Rpl {0}:Elimination:Eliminations;"",""en_us"":""|Rpl {0}:Elimination:Eliminations;"",""es_es"":""|Rpl {0}:Eliminación:Eliminaciones;"",""es_mx"":""|Rpl {0}:Eliminación:Eliminaciones;"",""fr_fr"":""|Rpl {0}:Élimination:Éliminations;"",""it_it"":""|Rpl {0}:Eliminazione:Eliminazioni;"",""ja_jp"":""キル"",""ko_kr"":""처치"",""pl_pl"":""|Rpl {0}:likwidacje:likwidacje:likwidacje;"",""pt_br"":""|Rpl {0}:Eliminação:Eliminações;"",""pt_pt"":""|Rpl {0}:Eliminação:Eliminações;"",""ru_ru"":""|Rpl {0}:Убийство:Убийства:Убийств;"",""zh_cn"":""消灭"",""zh_tw"":""擊殺數""}",Hero,31,|Rpl {0}:Elimination:Eliminations;
"{""de_de"":""Gespielte Zeit"",""en_gb"":""Time Played"",""en_us"":""Time Played"",""es_es"":""Tiempo jugado"",""es_mx"":""Tiempo jugado"",""fr_fr"":""Temps de jeu"",""it_it"":""Tempo di gioco"",""ja_jp"":""プレイ時間"",""ko_kr"":""플레이 시간"",""pl_pl"":""Czas rozgrywki"",""pt_br"":""Tempo de jogo"",""pt_pt"":""Tempo de jogo"",""ru_ru"":""Время в игре"",""zh_cn"":""游戏时间"",""zh_tw"":""遊戲總時間""}",Hero,33,Time Played
"{""de_de"":""Eliminierungen im selben Leben – Bestleistung"",""en_gb"":""|Rpl {0}:Elimination:Eliminations; - Most in Life"",""en_us"":""|Rpl {0}:Elimination:Eliminations; - Most in Life"",""es_es"":""|Rpl {0}:Eliminación:Eliminaciones;: mayor n.º en una vida"",""es_mx"":""|Rpl {0}:Eliminación:Eliminaciones; - Mayor cantidad"",""fr_fr"":""|Rpl {0}:Élimination:Éliminations; - Maximum en une vie"",""it_it"":""|Rpl {0}:Eliminazione:Eliminazioni; - Globale"",""ja_jp"":""最多キル/ライフ"",""ko_kr"":""처치 - 한 목숨 최고기록"",""pl_pl"":""|Rpl {0}:likwidacje:likwidacje:likwidacje; – najwięcej na jednym życiu"",""pt_br"":""|Rpl {0}:Eliminação:Eliminações; - maior número em vida"",""pt_pt"":""|Rpl {0}:Eliminação:Eliminações; - maior número em vida"",""ru_ru"":""|Rpl {0}:Убийство:Убийства:Убийств; (макс. за одну жизнь)"",""zh_cn"":""单次存活时最多消灭"",""zh_tw"":""死前最高擊殺數""}",Hero,34,|Rpl {0}:Elimination:Eliminations; - Most in Life
"{""de_de"":""Geerntete |Rpl {0}:Seele:Seelen;"",""en_gb"":""|Rpl {0}:Soul:Souls; Consumed"",""en_us"":""|Rpl {0}:Soul:Souls; Consumed"",""es_es"":""|Rpl {0}:Almas consumida:Almas consumidas;"",""es_mx"":""|Rpl {0}:Alma consumida:Almas consumidas;"",""fr_fr"":""|Rpl {0}:Âme consumée:Âmes consumées;"",""it_it"":""|Rpl {0}:Anima consumata:Anime consumate;"",""ja_jp"":""ソウル吸収量"",""ko_kr"":""거둔 영혼"",""pl_pl"":""|Rpl {0}:pożarte dusze:pożarte dusze:pożarte dusze;"",""pt_br"":""|Rpl {0}:Alma consumida:Almas consumidas;"",""pt_pt"":""|Rpl {0}:Alma consumida:Almas consumidas;"",""ru_ru"":""|Rpl {0}:Душа поглощена:Души поглощено:Душ поглощено;"",""zh_cn"":""吸收灵魂"",""zh_tw"":""奪取的靈魂數""}",Hero,36,|Rpl {0}:Soul:Souls; Consumed
"{""de_de"":""|Rpl {0}:Eliminierung:Eliminierungen;"",""en_gb"":""|Rpl {0}:Elimination:Eliminations;"",""en_us"":""|Rpl {0}:Elimination:Eliminations;"",""es_es"":""|Rpl {0}:Eliminación:Eliminaciones;"",""es_mx"":""|Rpl {0}:Eliminación:Eliminaciones;"",""fr_fr"":""|Rpl {0}:Élimination:Éliminations;"",""it_it"":""|Rpl {0}:Eliminazione:Eliminazioni;"",""ja_jp"":""キル"",""ko_kr"":""처치"",""pl_pl"":""|Rpl {0}:likwidacje:likwidacje:likwidacje;"",""pt_br"":""|Rpl {0}:Eliminação:Eliminações;"",""pt_pt"":""|Rpl {0}:Eliminação:Eliminações;"",""ru_ru"":""|Rpl {0}:Убийство:Убийства:Убийств;"",""zh_cn"":""消灭"",""zh_tw"":""擊殺數""}",Hero,37,|Rpl {0}:Elimination:Eliminations;
"{""de_de"":""Gespielte Zeit"",""en_gb"":""Time Played"",""en_us"":""Time Played"",""es_es"":""Tiempo jugado"",""es_mx"":""Tiempo jugado"",""fr_fr"":""Temps de jeu"",""it_it"":""Tempo di gioco"",""ja_jp"":""プレイ時間"",""ko_kr"":""플레이 시간"",""pl_pl"":""Czas rozgrywki"",""pt_br"":""Tempo de jogo"",""pt_pt"":""Tempo de jogo"",""ru_ru"":""Время в игре"",""zh_cn"":""游戏时间"",""zh_tw"":""遊戲總時間""}",Hero,38,Time Played
"{""de_de"":""|Rpl {0}:Tod:Tode;"",""en_gb"":""|Rpl {0}:Death:Deaths;"",""en_us"":""|Rpl {0}:Death:Deaths;"",""es_es"":""|Rpl {0}Muerte:Muertes;"",""es_mx"":""|Rpl {0}:Muerte:Muertes;"",""fr_fr"":""|Rpl {0}:Mort:Morts;"",""it_it"":""|Rpl {0}:Morte:Morti;"",""ja_jp"":""デス"",""ko_kr"":""죽음"",""pl_pl"":""|Rpl {0}:zgony:zgony:zgony;"",""pt_br"":""|Rpl {0}:Morte:Mortes;"",""pt_pt"":""|Rpl {0}:Morte:Mortes;"",""ru_ru"":""|Rpl {0}:смерть:смерти:смертей;"",""zh_cn"":""阵亡"",""zh_tw"":""死亡數""}",Hero,41,|Rpl {0}:Death:Deaths;
